u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
25.426,25.567,25.2166,24.5832,24.0859,0.9966
26.0628,26.0293,25.419,25.1661,24.6804,1.8231
26.03,25.9201,24.8829,24.4989,24.438,0.5484
26.4852,26.0375,25.416,24.8233,24.2776,1.5998
27.0075,26.7488,26.0126,25.1279,24.3237,1.4821
26.2002,25.9367,25.0394,24.4004,24.3003,0.6909
26.8611,25.7334,23.9638,23.7084,23.6113,3.501
25.4395,25.7368,24.9924,24.4819,24.0996,0.7575
25.3071,25.2138,24.7582,24.381,24.1311,1.7313
25.6348,25.8314,25.3783,24.5981,24.2773,0.8502
26.9619,26.8923,26.2219,25.4318,24.758,1.6584
25.7518,26.0436,25.3601,25.0376,24.523,2.0873
26.3188,25.8757,24.9241,24.5218,24.2505,0.6033
26.6978,27.8779,26.1568,25.6636,24.8273,3.1729
25.6533,25.5383,24.3582,24.0766,23.9359,0.5236
25.153,25.1916,24.7955,24.782,24.4068,1.63
25.0293,25.0485,24.8899,24.7652,24.5377,1.583
24.8345,24.826,24.0753,23.5311,23.2715,0.7368
24.6683,24.6134,23.3377,23.1864,22.9337,0.3616
25.7485,26.1594,25.1756,24.6102,24.2506,0.858
25.9183,25.6787,24.232,23.7466,23.3702,0.5694
26.8596,27.4591,25.4091,24.7444,23.7635,1.4723
25.2191,25.3489,24.9847,24.6749,24.4695,1.6627
25.5474,25.6241,24.5944,24.3617,24.1934,0.4342
26.9023,26.4868,25.7929,25.7105,25.2951,2.3156
25.8194,26.1176,25.0976,24.9591,24.8557,0.4883
25.0303,25.0574,24.0472,23.7975,23.5722,0.5513
25.8014,25.702,24.695,24.1968,24.1111,0.1171
25.2182,25.3064,24.6787,24.0801,23.8606,0.7779
26.0771,26.0109,25.6913,24.9921,24.7112,0.9725
25.6049,25.2166,24.6691,24.406,23.9715,1.5933
25.2442,25.2306,24.4949,24.0842,23.8658,0.7269
26.9344,27.379,25.3708,24.2645,23.2254,0.966
24.5881,24.5716,23.4594,22.9692,22.6091,0.5574
26.0253,26.1818,25.7614,25.8212,24.902,0.7511
24.3269,24.4159,23.8128,23.3199,22.7902,1.0731
25.2305,25.2242,24.6305,24.3543,23.6687,1.3749
24.4834,24.4432,23.3319,22.7759,22.4959,0.6599
25.7223,25.5987,24.3067,23.9619,23.6661,0.4724
26.4045,26.1514,24.8002,24.7207,24.6513,0.3623
23.9947,23.9912,22.9356,22.408,22.0541,0.6699
26.5928,26.1769,24.1936,23.4759,22.9328,0.584
26.683,26.7485,25.5882,24.6235,23.844,1.4194
26.0502,25.6559,25.6047,25.1067,24.7034,1.4617
25.2355,25.2062,24.8385,24.9117,24.4328,1.4675
25.7057,25.5045,24.7592,24.5436,24.2621,0.1916
25.3071,25.5559,24.715,24.1777,23.3569,1.2405
24.8045,24.7615,23.9269,23.4457,23.1339,0.6761
25.1186,25.0515,23.9929,23.6981,23.5032,0.525
24.6713,24.7117,24.0357,23.7392,23.532,0.5953
24.259,24.0475,23.5995,23.5338,23.3574,2.2518
25.4349,25.3775,25.1415,24.8762,24.1968,1.1574
26.4581,26.8703,25.6902,25.1166,24.6027,1.0526
24.1933,24.3592,23.9958,23.3843,23.0691,0.9317
25.5071,25.3625,25.0436,24.7902,24.2074,1.166
25.8398,25.8683,24.7037,24.6563,24.4399,0.3336
25.7211,25.8173,25.5948,24.8945,24.6615,0.9469
25.6162,25.54,25.1898,25.2194,25.0134,2.1586
25.4118,25.0941,24.4883,24.4493,24.1005,2.4398
26.1956,26.5303,26.1024,25.8148,25.5987,2.322
